epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.973,1.44232,4.48414,1.18856,0.0019,0.8,0.00268,0.00185,1.37903,4.12546,1.06192,2e-05,2e-05,2e-05
2,286.193,1.19403,4.03283,1.07676,0.0019,0.8,0.00505,0.0028,1.38107,4.15636,1.0545,5.9406e-05,5.9406e-05,5.9406e-05
3,302.22,1.34273,3.96377,1.06289,0.0019,0.8,0.00557,0.00325,1.38089,4.12686,1.05513,9.802e-05,9.802e-05,9.802e-05
4,317.006,1.15405,4.19059,1.04055,0.0019,0.8,0.00584,0.0036,1.42344,4.1269,1.06848,0.000135842,0.000135842,0.000135842
5,331.373,1.13409,3.54162,1.04572,0.0019,0.8,0.102,0.06125,1.51655,4.20027,1.05174,0.000172872,0.000172872,0.000172872
6,346.105,1.14753,3.19023,1.04193,0.0019,0.8,0.33138,0.23809,1.4863,4.20066,1.00824,0.00020911,0.00020911,0.00020911
7,359.915,1.29417,2.94571,1.05745,0.0019,0.8,0.65949,0.38534,1.43462,4.37157,1.03117,0.000244556,0.000244556,0.000244556
8,373.991,1.22376,2.83438,1.07704,0.00238,1,0.26612,0.12613,1.2876,4.14411,1.05646,0.00027921,0.00027921,0.00027921
9,387.84,1.18176,2.19497,1.04428,0.0019,0.8,0.00623,0.0039,1.32285,4.16499,1.08585,0.000313072,0.000313072,0.000313072
10,401.919,1.19477,1.86962,1.03817,0.0019,0.8,0.00605,0.0039,1.38722,4.09725,1.10186,0.000346142,0.000346142,0.000346142
11,417.891,1.21254,2.32388,1.04745,0.0019,0.8,0.00616,0.00416,1.40456,4.03664,1.09575,0.00037842,0.00037842,0.00037842
12,431.35,1.10654,2.3402,0.99416,0.0019,0.8,0.00613,0.00444,1.33724,4.07443,1.0638,0.000409906,0.000409906,0.000409906
13,445.456,1.04969,2.68159,1.01472,0.0019,0.8,0.00573,0.00394,1.38121,4.16127,1.06565,0.0004406,0.0004406,0.0004406
14,460.629,1.12962,1.89557,1.06723,0.0019,0.8,0.00571,0.00393,1.35509,4.19302,1.04855,0.000470502,0.000470502,0.000470502
