epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1395,1.61149,3.49527,1.1503,0.00667,0.83019,0.01763,0.01217,0.9516,3.37996,0.90201,6e-05,6e-05,6e-05
2,74.4412,1.20524,3.19368,0.93905,0.00758,0.9434,0.12146,0.06651,1.09423,3.35146,0.86269,0.000138614,0.000138614,0.000138614
3,108.641,1.19377,2.53684,0.93581,0.00773,0.96226,0.65126,0.32884,0.97556,3.218,0.83617,0.000215644,0.000215644,0.000215644
4,141.146,1.09443,1.86065,0.95007,0.00758,0.9434,0.66673,0.29586,1.01931,3.20253,0.86176,0.00029109,0.00029109,0.00029109
5,174.963,1.31153,1.52519,1.07425,0.00758,0.9434,0.68565,0.34726,1.01754,3.18099,0.87988,0.000364952,0.000364952,0.000364952
6,208.06,0.99096,1.26063,0.94466,0.00773,0.96226,0.61859,0.31353,1.01314,3.15543,0.88073,0.00043723,0.00043723,0.00043723
7,242.527,1.07837,1.25239,0.97804,0.00758,0.9434,0.43562,0.15153,0.99331,3.18536,0.88959,0.000507924,0.000507924,0.000507924
8,275.514,1.00544,1.11957,0.95607,0.00773,0.96226,0.08513,0.03516,0.98582,3.11633,0.89415,0.000577034,0.000577034,0.000577034
9,308.567,1.09036,1.15036,0.96918,0.00712,0.88679,0.02234,0.01358,0.96937,3.20565,0.91712,0.00064456,0.00064456,0.00064456
10,341.775,0.9612,1.22633,0.95641,0.00697,0.86792,0.02118,0.01509,0.90628,3.17907,0.89717,0.000710502,0.000710502,0.000710502
11,389.133,1.08035,1.08868,0.96737,0.00682,0.84906,0.02009,0.01477,0.90858,3.10841,0.88028,0.00077486,0.00077486,0.00077486
12,441.694,1.00079,1.08766,0.96155,0.00667,0.83019,0.01846,0.01403,0.86997,3.1341,0.86943,0.000837634,0.000837634,0.000837634
13,504.457,1.0425,1.14191,1.00768,0.00621,0.77358,0.03685,0.02738,0.90631,3.17926,0.8999,0.000898824,0.000898824,0.000898824
14,537.249,1.0793,1.04463,0.99547,0.00652,0.81132,0.0914,0.06849,0.96984,3.13848,0.91779,0.00095843,0.00095843,0.00095843
15,570.04,0.98076,1.15258,0.94685,0.0191,0.71698,0.40029,0.31275,1.01112,2.98499,0.94377,0.00101645,0.00101645,0.00101645
16,602.523,0.99221,1.15505,0.95224,0.78287,0.47631,0.55301,0.43213,1.01281,2.92958,0.94334,0.00107289,0.00107289,0.00107289
17,635.462,1.001,1.108,0.98055,0.46605,0.56604,0.49773,0.38758,1.03572,2.91537,0.96458,0.00112774,0.00112774,0.00112774
18,668.412,0.96085,1.00063,0.93623,0.14374,0.54717,0.22133,0.16613,0.96003,2.79398,0.94951,0.00118101,0.00118101,0.00118101
19,701.558,1.13531,1.62092,1.11819,0.01197,0.92453,0.35516,0.27035,0.96416,2.67771,0.95564,0.0012327,0.0012327,0.0012327
20,734.593,1.00128,0.88895,0.97145,0.01486,0.90566,0.5261,0.40659,0.93623,2.6024,0.94168,0.0012828,0.0012828,0.0012828
21,769.072,0.9622,0.94187,0.93203,0.8901,0.45858,0.71213,0.53258,0.9468,2.51152,0.95049,0.00133132,0.00133132,0.00133132
22,803.674,0.96136,0.92527,0.93613,1,0.56165,0.85196,0.64114,0.93727,2.1801,0.94712,0.00137825,0.00137825,0.00137825
23,837.59,0.94764,0.9826,0.95269,0.99044,0.77358,0.90515,0.66637,0.97253,1.88886,0.95665,0.0014236,0.0014236,0.0014236
24,873.066,0.98815,0.94458,0.98344,0.97773,0.82847,0.93517,0.69361,0.93867,1.77114,0.93604,0.00146737,0.00146737,0.00146737
25,908.128,0.97645,0.81857,0.92933,0.95745,0.84908,0.9404,0.69862,0.93001,1.77603,0.91253,0.00150955,0.00150955,0.00150955
26,941.558,0.97739,1.15638,0.97815,0.98247,0.83019,0.92741,0.68251,0.96263,1.75678,0.92334,0.001505,0.001505,0.001505
27,974.339,0.94528,0.85285,0.9175,0.9897,0.83019,0.89514,0.64501,1.04845,1.67864,0.9561,0.0014852,0.0014852,0.0014852
28,1008.47,0.96991,0.91814,0.93617,0.95484,0.7979,0.88233,0.60844,1.04558,1.65083,0.97629,0.0014654,0.0014654,0.0014654
29,1041.14,0.94815,0.94848,0.9469,0.95377,0.79245,0.89986,0.65024,0.93366,1.64225,0.94272,0.0014456,0.0014456,0.0014456
30,1074.16,0.87997,0.80215,0.93038,0.95489,0.79887,0.90735,0.6881,0.90325,1.54942,0.92609,0.0014258,0.0014258,0.0014258
31,1106.64,0.82973,0.82557,0.91365,0.93391,0.7999,0.90638,0.69689,0.93096,1.44595,0.92839,0.001406,0.001406,0.001406
32,1139.74,0.86815,0.83183,0.9512,0.93498,0.814,0.93152,0.67772,0.96619,1.4028,0.9541,0.0013862,0.0013862,0.0013862
33,1173,1.01169,1.74167,0.94185,0.93697,0.84156,0.94969,0.69998,0.93384,1.35948,0.94441,0.0013664,0.0013664,0.0013664
34,1206.8,0.81707,0.83498,0.89876,0.93772,0.85228,0.95729,0.75784,0.88015,1.22314,0.93007,0.0013466,0.0013466,0.0013466
35,1239.97,0.83473,0.81516,0.92739,0.93834,0.86147,0.96041,0.74274,0.88323,1.06155,0.94812,0.0013268,0.0013268,0.0013268
36,1273.92,0.84819,0.74923,0.9123,0.95931,0.88972,0.96435,0.72753,0.8726,0.97063,0.95526,0.001307,0.001307,0.001307
37,1310.25,0.75717,0.71954,0.87484,0.94723,0.88679,0.96028,0.72081,0.89399,0.95481,0.95854,0.0012872,0.0012872,0.0012872
38,1345.84,0.819,1.14795,0.89798,0.99321,0.84906,0.96023,0.73546,0.89432,0.95172,0.96347,0.0012674,0.0012674,0.0012674
39,1379.96,0.91475,0.71743,0.94441,0.98862,0.84906,0.9677,0.73258,0.89086,0.9547,0.95544,0.0012476,0.0012476,0.0012476
40,1412.98,0.80582,0.75109,0.905,0.9241,0.91894,0.97236,0.7308,0.90748,0.89274,0.95236,0.0012278,0.0012278,0.0012278
41,1446.98,0.92293,0.78185,0.91733,0.97976,0.91357,0.97436,0.72978,0.95569,0.84129,0.99545,0.001208,0.001208,0.001208
42,1480.36,0.85795,0.73224,0.94964,0.97465,0.90566,0.97171,0.74278,0.89188,0.80514,0.95618,0.0011882,0.0011882,0.0011882
43,1513.95,0.83526,0.76168,0.91522,0.97474,0.88679,0.97391,0.75146,0.87888,0.79395,0.94927,0.0011684,0.0011684,0.0011684
44,1548.34,0.91628,0.76398,0.92727,0.96061,0.92033,0.97621,0.74632,0.8759,0.78249,0.95307,0.0011486,0.0011486,0.0011486
45,1582.88,0.92169,0.70404,0.89884,0.96053,0.91852,0.97863,0.74563,0.86653,0.80199,0.94003,0.0011288,0.0011288,0.0011288
46,1616.27,0.84216,0.69577,0.89338,0.95914,0.88573,0.97432,0.75246,0.85726,0.80278,0.93207,0.001109,0.001109,0.001109
47,1649.94,0.82649,0.94785,0.90714,0.95968,0.8982,0.9768,0.74801,0.87168,0.79669,0.94079,0.0010892,0.0010892,0.0010892
48,1684.1,0.747,0.72019,0.90608,0.91581,0.90566,0.97072,0.74763,0.87899,0.75884,0.95291,0.0010694,0.0010694,0.0010694
49,1718.54,0.75791,0.69859,0.87237,0.97868,0.866,0.96818,0.74819,0.85638,0.73641,0.94228,0.0010496,0.0010496,0.0010496
50,1753.8,0.80394,0.65901,0.87942,1,0.86638,0.9707,0.76372,0.82017,0.74726,0.92504,0.0010298,0.0010298,0.0010298
51,1786.83,0.74131,0.66613,0.88158,1,0.87809,0.97297,0.75505,0.8054,0.74562,0.91332,0.00101,0.00101,0.00101
52,1820.6,0.81629,0.67176,0.91622,1,0.88384,0.97392,0.77206,0.82015,0.72592,0.91381,0.0009902,0.0009902,0.0009902
53,1853.96,0.79676,0.62662,0.88696,0.99304,0.86792,0.97067,0.76699,0.82328,0.70331,0.91615,0.0009704,0.0009704,0.0009704
54,1887.8,0.6961,0.61281,0.86331,0.999,0.86792,0.97148,0.7458,0.87629,0.70979,0.93255,0.0009506,0.0009506,0.0009506
55,1921.6,0.76453,0.632,0.8798,0.97914,0.88557,0.96747,0.75776,0.82052,0.69583,0.91524,0.0009308,0.0009308,0.0009308
56,1955.33,0.79332,0.67603,0.90342,0.97914,0.88573,0.96507,0.7759,0.78972,0.65784,0.90231,0.000911,0.000911,0.000911
57,1988.53,0.79157,0.73809,0.918,0.9598,0.9011,0.96546,0.75838,0.83057,0.68635,0.91031,0.0008912,0.0008912,0.0008912
58,2023.31,0.77452,0.61218,0.87672,0.97876,0.86948,0.96433,0.76689,0.83486,0.70663,0.91357,0.0008714,0.0008714,0.0008714
59,2056.81,0.86335,0.70003,0.89552,0.96912,0.88679,0.96281,0.77583,0.82969,0.70636,0.91658,0.0008516,0.0008516,0.0008516
60,2090.43,0.7715,0.6697,0.87983,0.95983,0.90183,0.96248,0.77844,0.81697,0.68984,0.91805,0.0008318,0.0008318,0.0008318
61,2123.68,0.80182,0.63474,0.87557,0.95618,0.92453,0.96657,0.77189,0.82432,0.68989,0.92362,0.000812,0.000812,0.000812
62,2157.88,0.88552,0.65453,0.89595,0.95422,0.92453,0.97015,0.78214,0.80815,0.67729,0.91787,0.0007922,0.0007922,0.0007922
63,2211.03,0.7347,0.78811,0.8563,0.95877,0.92453,0.97657,0.78126,0.78343,0.65521,0.90798,0.0007724,0.0007724,0.0007724
64,2246.09,0.68548,0.72683,0.88244,0.98072,0.92453,0.97799,0.77282,0.78291,0.65005,0.90771,0.0007526,0.0007526,0.0007526
65,2278.97,0.80661,0.64601,0.8967,0.98321,0.90566,0.97787,0.78384,0.79256,0.66688,0.9093,0.0007328,0.0007328,0.0007328
66,2313.62,0.74157,0.65105,0.88691,0.98713,0.92453,0.97616,0.78231,0.81152,0.68707,0.91453,0.000713,0.000713,0.000713
67,2346.59,0.75791,0.60317,0.90178,0.99974,0.90566,0.97248,0.77254,0.81262,0.67782,0.91758,0.0006932,0.0006932,0.0006932
68,2379.26,0.68616,0.62414,0.84797,1,0.90334,0.97305,0.77567,0.77745,0.64161,0.90635,0.0006734,0.0006734,0.0006734
